dt,AverageTemperature,Country,dt_formatted,month_offset
1899-12-01,24.905,Indonesia,1899-12-01,900
1900-01-01,25.404,Indonesia,1900-01-01,901
1900-02-01,25.373,Indonesia,1900-02-01,902
1900-03-01,25.842,Indonesia,1900-03-01,903
1900-04-01,26.225,Indonesia,1900-04-01,904
1900-05-01,26.369,Indonesia,1900-05-01,905
1900-06-01,25.776,Indonesia,1900-06-01,906
1900-07-01,25.329,Indonesia,1900-07-01,907
1900-08-01,25.613000000000003,Indonesia,1900-08-01,908
1900-09-01,26.056,Indonesia,1900-09-01,909
1900-10-01,25.781,Indonesia,1900-10-01,910
1900-11-01,25.513,Indonesia,1900-11-01,911
1900-12-01,25.534,Indonesia,1900-12-01,912
1901-01-01,25.483,Indonesia,1901-01-01,913
1901-02-01,25.329,Indonesia,1901-02-01,914
1901-03-01,25.599,Indonesia,1901-03-01,915
1901-04-01,25.983,Indonesia,1901-04-01,916
1901-05-01,25.893,Indonesia,1901-05-01,917
1901-06-01,25.888,Indonesia,1901-06-01,918
1901-07-01,25.048,Indonesia,1901-07-01,919
1901-08-01,24.746,Indonesia,1901-08-01,920
1901-09-01,25.245,Indonesia,1901-09-01,921
1901-10-01,25.571,Indonesia,1901-10-01,922
1901-11-01,25.105,Indonesia,1901-11-01,923
1901-12-01,24.81900000000001,Indonesia,1901-12-01,924
1902-01-01,24.977,Indonesia,1902-01-01,925
1902-02-01,25.085,Indonesia,1902-02-01,926
1902-03-01,25.191,Indonesia,1902-03-01,927
1902-04-01,25.48,Indonesia,1902-04-01,928
1902-05-01,25.661,Indonesia,1902-05-01,929
1902-06-01,25.541,Indonesia,1902-06-01,930
1902-07-01,25.225,Indonesia,1902-07-01,931
1902-08-01,25.07,Indonesia,1902-08-01,932
1902-09-01,24.942,Indonesia,1902-09-01,933
1902-10-01,25.068,Indonesia,1902-10-01,934
1902-11-01,25.086,Indonesia,1902-11-01,935
1902-12-01,25.139000000000006,Indonesia,1902-12-01,936
1903-01-01,25.665,Indonesia,1903-01-01,937
1903-02-01,25.465,Indonesia,1903-02-01,938
1903-03-01,25.436,Indonesia,1903-03-01,939
1903-04-01,25.589,Indonesia,1903-04-01,940
1903-05-01,25.792,Indonesia,1903-05-01,941
1903-06-01,25.435,Indonesia,1903-06-01,942
1903-07-01,25.323,Indonesia,1903-07-01,943
1903-08-01,25.368,Indonesia,1903-08-01,944
1903-09-01,25.468000000000004,Indonesia,1903-09-01,945
1903-10-01,25.362,Indonesia,1903-10-01,946
1903-11-01,25.332,Indonesia,1903-11-01,947
1903-12-01,24.841,Indonesia,1903-12-01,948
1904-01-01,24.624,Indonesia,1904-01-01,949
1904-02-01,24.971,Indonesia,1904-02-01,950
1904-03-01,25.108,Indonesia,1904-03-01,951
1904-04-01,24.668000000000003,Indonesia,1904-04-01,952
1904-05-01,25.386,Indonesia,1904-05-01,953
1904-06-01,24.963,Indonesia,1904-06-01,954
1904-07-01,25.236,Indonesia,1904-07-01,955
1904-08-01,24.919,Indonesia,1904-08-01,956
1904-09-01,25.12,Indonesia,1904-09-01,957
1904-10-01,25.17,Indonesia,1904-10-01,958
1904-11-01,25.256,Indonesia,1904-11-01,959
1904-12-01,24.931,Indonesia,1904-12-01,960
1905-01-01,25.172,Indonesia,1905-01-01,961
1905-02-01,25.121,Indonesia,1905-02-01,962
1905-03-01,26.118,Indonesia,1905-03-01,963
1905-04-01,25.899,Indonesia,1905-04-01,964
1905-05-01,25.937,Indonesia,1905-05-01,965
1905-06-01,26.253,Indonesia,1905-06-01,966
1905-07-01,25.515,Indonesia,1905-07-01,967
1905-08-01,25.406,Indonesia,1905-08-01,968
1905-09-01,25.651,Indonesia,1905-09-01,969
1905-10-01,25.872,Indonesia,1905-10-01,970
1905-11-01,25.769,Indonesia,1905-11-01,971
1905-12-01,25.475,Indonesia,1905-12-01,972
1906-01-01,25.585,Indonesia,1906-01-01,973
1906-02-01,25.855,Indonesia,1906-02-01,974
1906-03-01,26.108,Indonesia,1906-03-01,975
1906-04-01,25.946,Indonesia,1906-04-01,976
1906-05-01,26.135,Indonesia,1906-05-01,977
1906-06-01,25.664,Indonesia,1906-06-01,978
1906-07-01,25.395,Indonesia,1906-07-01,979
1906-08-01,25.16,Indonesia,1906-08-01,980
1906-09-01,25.583,Indonesia,1906-09-01,981
1906-10-01,25.597,Indonesia,1906-10-01,982
1906-11-01,25.62,Indonesia,1906-11-01,983
1906-12-01,25.200000000000006,Indonesia,1906-12-01,984
1907-01-01,25.225,Indonesia,1907-01-01,985
1907-02-01,25.074,Indonesia,1907-02-01,986
1907-03-01,25.118,Indonesia,1907-03-01,987
1907-04-01,25.562,Indonesia,1907-04-01,988
1907-05-01,25.693,Indonesia,1907-05-01,989
1907-06-01,25.373,Indonesia,1907-06-01,990
1907-07-01,25.03,Indonesia,1907-07-01,991
1907-08-01,25.011,Indonesia,1907-08-01,992
1907-09-01,25.079,Indonesia,1907-09-01,993
1907-10-01,25.3,Indonesia,1907-10-01,994
1907-11-01,25.418000000000003,Indonesia,1907-11-01,995
1907-12-01,25.088,Indonesia,1907-12-01,996
1908-01-01,25.434,Indonesia,1908-01-01,997
1908-02-01,25.614,Indonesia,1908-02-01,998
1908-03-01,25.626,Indonesia,1908-03-01,999
1908-04-01,25.71,Indonesia,1908-04-01,1000
1908-05-01,25.905,Indonesia,1908-05-01,1001
1908-06-01,25.233,Indonesia,1908-06-01,1002
1908-07-01,24.705,Indonesia,1908-07-01,1003
1908-08-01,25.26,Indonesia,1908-08-01,1004
1908-09-01,25.31,Indonesia,1908-09-01,1005
1908-10-01,25.4,Indonesia,1908-10-01,1006
1908-11-01,25.122,Indonesia,1908-11-01,1007
1908-12-01,24.866,Indonesia,1908-12-01,1008
1909-01-01,25.498,Indonesia,1909-01-01,1009
1909-02-01,25.489,Indonesia,1909-02-01,1010
1909-03-01,25.398000000000003,Indonesia,1909-03-01,1011
1909-04-01,25.647,Indonesia,1909-04-01,1012
1909-05-01,25.919,Indonesia,1909-05-01,1013
1909-06-01,25.391,Indonesia,1909-06-01,1014
1909-07-01,25.462,Indonesia,1909-07-01,1015
1909-08-01,25.233,Indonesia,1909-08-01,1016
1909-09-01,25.576,Indonesia,1909-09-01,1017
1909-10-01,25.493,Indonesia,1909-10-01,1018
1909-11-01,25.143,Indonesia,1909-11-01,1019
1909-12-01,25.014000000000006,Indonesia,1909-12-01,1020
1910-01-01,25.422,Indonesia,1910-01-01,1021
1910-02-01,25.104000000000006,Indonesia,1910-02-01,1022
1910-03-01,25.356,Indonesia,1910-03-01,1023
1910-04-01,25.236,Indonesia,1910-04-01,1024
1910-05-01,25.721,Indonesia,1910-05-01,1025
1910-06-01,25.31,Indonesia,1910-06-01,1026
1910-07-01,25.679,Indonesia,1910-07-01,1027
1910-08-01,25.316,Indonesia,1910-08-01,1028
1910-09-01,25.558000000000003,Indonesia,1910-09-01,1029
1910-10-01,25.771,Indonesia,1910-10-01,1030
1910-11-01,25.232,Indonesia,1910-11-01,1031
1910-12-01,25.164,Indonesia,1910-12-01,1032
1911-01-01,25.354,Indonesia,1911-01-01,1033
1911-02-01,25.373,Indonesia,1911-02-01,1034
1911-03-01,25.895,Indonesia,1911-03-01,1035
1911-04-01,25.548,Indonesia,1911-04-01,1036
1911-05-01,25.628,Indonesia,1911-05-01,1037
1911-06-01,25.36,Indonesia,1911-06-01,1038
1911-07-01,25.115,Indonesia,1911-07-01,1039
1911-08-01,24.879,Indonesia,1911-08-01,1040
1911-09-01,25.23,Indonesia,1911-09-01,1041
1911-10-01,25.279,Indonesia,1911-10-01,1042
1911-11-01,25.398000000000003,Indonesia,1911-11-01,1043
1911-12-01,25.257,Indonesia,1911-12-01,1044
1912-01-01,25.468000000000004,Indonesia,1912-01-01,1045
1912-02-01,25.659,Indonesia,1912-02-01,1046
1912-03-01,25.482,Indonesia,1912-03-01,1047
1912-04-01,26.040000000000006,Indonesia,1912-04-01,1048
1912-05-01,26.079,Indonesia,1912-05-01,1049
1912-06-01,25.853,Indonesia,1912-06-01,1050
1912-07-01,25.271,Indonesia,1912-07-01,1051
1912-08-01,24.861,Indonesia,1912-08-01,1052
1912-09-01,25.533,Indonesia,1912-09-01,1053
1912-10-01,25.318,Indonesia,1912-10-01,1054
1912-11-01,25.273000000000003,Indonesia,1912-11-01,1055
1912-12-01,25.151,Indonesia,1912-12-01,1056
1913-01-01,25.317,Indonesia,1913-01-01,1057
1913-02-01,25.559,Indonesia,1913-02-01,1058
1913-03-01,25.465,Indonesia,1913-03-01,1059
1913-04-01,25.143,Indonesia,1913-04-01,1060
1913-05-01,25.462,Indonesia,1913-05-01,1061
1913-06-01,25.184,Indonesia,1913-06-01,1062
1913-07-01,24.839,Indonesia,1913-07-01,1063
1913-08-01,24.989,Indonesia,1913-08-01,1064
1913-09-01,25.103,Indonesia,1913-09-01,1065
1913-10-01,25.152,Indonesia,1913-10-01,1066
1913-11-01,25.366,Indonesia,1913-11-01,1067
1913-12-01,25.34,Indonesia,1913-12-01,1068
1914-01-01,25.456,Indonesia,1914-01-01,1069
1914-02-01,25.619,Indonesia,1914-02-01,1070
1914-03-01,25.714,Indonesia,1914-03-01,1071
1914-04-01,25.686,Indonesia,1914-04-01,1072
1914-05-01,26.055,Indonesia,1914-05-01,1073
1914-06-01,25.335,Indonesia,1914-06-01,1074
1914-07-01,24.959,Indonesia,1914-07-01,1075
1914-08-01,24.793000000000003,Indonesia,1914-08-01,1076
1914-09-01,25.266,Indonesia,1914-09-01,1077
1914-10-01,25.247,Indonesia,1914-10-01,1078
1914-11-01,25.675,Indonesia,1914-11-01,1079
1914-12-01,25.632,Indonesia,1914-12-01,1080
1915-01-01,25.757,Indonesia,1915-01-01,1081
1915-02-01,25.99,Indonesia,1915-02-01,1082
1915-03-01,26.081,Indonesia,1915-03-01,1083
1915-04-01,25.715,Indonesia,1915-04-01,1084
1915-05-01,26.355,Indonesia,1915-05-01,1085
1915-06-01,25.865,Indonesia,1915-06-01,1086
1915-07-01,25.449,Indonesia,1915-07-01,1087
1915-08-01,25.563,Indonesia,1915-08-01,1088
1915-09-01,25.52,Indonesia,1915-09-01,1089
1915-10-01,25.715,Indonesia,1915-10-01,1090
1915-11-01,25.533,Indonesia,1915-11-01,1091
1915-12-01,25.136000000000006,Indonesia,1915-12-01,1092
1916-01-01,25.294,Indonesia,1916-01-01,1093
1916-02-01,25.487,Indonesia,1916-02-01,1094
1916-03-01,25.529,Indonesia,1916-03-01,1095
1916-04-01,25.540000000000006,Indonesia,1916-04-01,1096
1916-05-01,25.489,Indonesia,1916-05-01,1097
1916-06-01,25.318,Indonesia,1916-06-01,1098
1916-07-01,25.173,Indonesia,1916-07-01,1099
1916-08-01,25.326,Indonesia,1916-08-01,1100
1916-09-01,25.465,Indonesia,1916-09-01,1101
1916-10-01,25.542,Indonesia,1916-10-01,1102
1916-11-01,25.317,Indonesia,1916-11-01,1103
1916-12-01,24.96,Indonesia,1916-12-01,1104
1917-01-01,24.934,Indonesia,1917-01-01,1105
1917-02-01,25.19100000000001,Indonesia,1917-02-01,1106
1917-03-01,25.49,Indonesia,1917-03-01,1107
1917-04-01,25.429,Indonesia,1917-04-01,1108
1917-05-01,25.476,Indonesia,1917-05-01,1109
1917-06-01,25.26,Indonesia,1917-06-01,1110
1917-07-01,25.172,Indonesia,1917-07-01,1111
1917-08-01,25.389,Indonesia,1917-08-01,1112
1917-09-01,25.566,Indonesia,1917-09-01,1113
1917-10-01,25.200000000000006,Indonesia,1917-10-01,1114
1917-11-01,25.456,Indonesia,1917-11-01,1115
1917-12-01,24.646,Indonesia,1917-12-01,1116
1918-01-01,24.612,Indonesia,1918-01-01,1117
1918-02-01,24.813,Indonesia,1918-02-01,1118
1918-03-01,25.22,Indonesia,1918-03-01,1119
1918-04-01,25.031,Indonesia,1918-04-01,1120
1918-05-01,25.235,Indonesia,1918-05-01,1121
1918-06-01,24.564,Indonesia,1918-06-01,1122
1918-07-01,25.016,Indonesia,1918-07-01,1123
1918-08-01,25.06,Indonesia,1918-08-01,1124
1918-09-01,25.144,Indonesia,1918-09-01,1125
1918-10-01,25.296000000000006,Indonesia,1918-10-01,1126
1918-11-01,25.585,Indonesia,1918-11-01,1127
1918-12-01,25.268,Indonesia,1918-12-01,1128
1919-01-01,25.491,Indonesia,1919-01-01,1129
1919-02-01,25.97,Indonesia,1919-02-01,1130
1919-03-01,25.91,Indonesia,1919-03-01,1131
1919-04-01,25.789,Indonesia,1919-04-01,1132
1919-05-01,25.894,Indonesia,1919-05-01,1133
1919-06-01,25.31,Indonesia,1919-06-01,1134
1919-07-01,24.634,Indonesia,1919-07-01,1135
1919-08-01,25.253,Indonesia,1919-08-01,1136
1919-09-01,25.291,Indonesia,1919-09-01,1137
1919-10-01,25.232000000000006,Indonesia,1919-10-01,1138
1919-11-01,25.212,Indonesia,1919-11-01,1139
1919-12-01,25.254,Indonesia,1919-12-01,1140
1920-01-01,25.484,Indonesia,1920-01-01,1141
1920-02-01,25.4,Indonesia,1920-02-01,1142
1920-03-01,25.578000000000003,Indonesia,1920-03-01,1143
1920-04-01,25.654,Indonesia,1920-04-01,1144
1920-05-01,25.688,Indonesia,1920-05-01,1145
1920-06-01,25.709,Indonesia,1920-06-01,1146
1920-07-01,25.577,Indonesia,1920-07-01,1147
1920-08-01,25.303,Indonesia,1920-08-01,1148
1920-09-01,25.529,Indonesia,1920-09-01,1149
1920-10-01,25.245,Indonesia,1920-10-01,1150
1920-11-01,25.675,Indonesia,1920-11-01,1151
1920-12-01,25.42,Indonesia,1920-12-01,1152
1921-01-01,25.356,Indonesia,1921-01-01,1153
1921-02-01,25.459,Indonesia,1921-02-01,1154
1921-03-01,25.58,Indonesia,1921-03-01,1155
1921-04-01,25.215,Indonesia,1921-04-01,1156
1921-05-01,25.54,Indonesia,1921-05-01,1157
1921-06-01,25.483,Indonesia,1921-06-01,1158
1921-07-01,25.173,Indonesia,1921-07-01,1159
1921-08-01,25.291,Indonesia,1921-08-01,1160
1921-09-01,25.41,Indonesia,1921-09-01,1161
1921-10-01,25.47600000000001,Indonesia,1921-10-01,1162
1921-11-01,25.329,Indonesia,1921-11-01,1163
1921-12-01,25.328000000000007,Indonesia,1921-12-01,1164
1922-01-01,25.454,Indonesia,1922-01-01,1165
1922-02-01,25.506,Indonesia,1922-02-01,1166
1922-03-01,25.338,Indonesia,1922-03-01,1167
1922-04-01,25.46,Indonesia,1922-04-01,1168
1922-05-01,25.505,Indonesia,1922-05-01,1169
1922-06-01,25.351,Indonesia,1922-06-01,1170
1922-07-01,25.042,Indonesia,1922-07-01,1171
1922-08-01,24.822,Indonesia,1922-08-01,1172
1922-09-01,25.346,Indonesia,1922-09-01,1173
1922-10-01,25.384,Indonesia,1922-10-01,1174
1922-11-01,25.555,Indonesia,1922-11-01,1175
1922-12-01,25.437,Indonesia,1922-12-01,1176
1923-01-01,25.224,Indonesia,1923-01-01,1177
1923-02-01,25.447000000000006,Indonesia,1923-02-01,1178
1923-03-01,25.281,Indonesia,1923-03-01,1179
1923-04-01,25.491,Indonesia,1923-04-01,1180
1923-05-01,25.512,Indonesia,1923-05-01,1181
1923-06-01,25.485,Indonesia,1923-06-01,1182
1923-07-01,24.638,Indonesia,1923-07-01,1183
1923-08-01,24.745,Indonesia,1923-08-01,1184
1923-09-01,25.008000000000003,Indonesia,1923-09-01,1185
1923-10-01,25.435,Indonesia,1923-10-01,1186
1923-11-01,25.793000000000003,Indonesia,1923-11-01,1187
1923-12-01,25.683000000000003,Indonesia,1923-12-01,1188
1924-01-01,25.662,Indonesia,1924-01-01,1189
1924-02-01,25.82,Indonesia,1924-02-01,1190
1924-03-01,25.72,Indonesia,1924-03-01,1191
1924-04-01,25.597,Indonesia,1924-04-01,1192
1924-05-01,25.715,Indonesia,1924-05-01,1193
1924-06-01,25.5,Indonesia,1924-06-01,1194
1924-07-01,25.244,Indonesia,1924-07-01,1195
1924-08-01,25.424,Indonesia,1924-08-01,1196
1924-09-01,25.504,Indonesia,1924-09-01,1197
1924-10-01,25.519,Indonesia,1924-10-01,1198
1924-11-01,25.5,Indonesia,1924-11-01,1199
1924-12-01,25.139000000000006,Indonesia,1924-12-01,1200
1925-01-01,25.401,Indonesia,1925-01-01,1201
1925-02-01,25.234,Indonesia,1925-02-01,1202
1925-03-01,25.192,Indonesia,1925-03-01,1203
1925-04-01,25.311,Indonesia,1925-04-01,1204
1925-05-01,25.579,Indonesia,1925-05-01,1205
1925-06-01,25.285,Indonesia,1925-06-01,1206
1925-07-01,24.912,Indonesia,1925-07-01,1207
1925-08-01,25.001,Indonesia,1925-08-01,1208
1925-09-01,25.441,Indonesia,1925-09-01,1209
1925-10-01,25.393,Indonesia,1925-10-01,1210
1925-11-01,25.749,Indonesia,1925-11-01,1211
1925-12-01,25.659,Indonesia,1925-12-01,1212
1926-01-01,25.411,Indonesia,1926-01-01,1213
1926-02-01,25.899,Indonesia,1926-02-01,1214
1926-03-01,26.128,Indonesia,1926-03-01,1215
1926-04-01,26.303,Indonesia,1926-04-01,1216
1926-05-01,26.383000000000003,Indonesia,1926-05-01,1217
1926-06-01,25.686,Indonesia,1926-06-01,1218
1926-07-01,25.218000000000004,Indonesia,1926-07-01,1219
1926-08-01,25.567,Indonesia,1926-08-01,1220
1926-09-01,25.567,Indonesia,1926-09-01,1221
1926-10-01,25.748,Indonesia,1926-10-01,1222
1926-11-01,26.062,Indonesia,1926-11-01,1223
1926-12-01,25.555,Indonesia,1926-12-01,1224
1927-01-01,25.578000000000003,Indonesia,1927-01-01,1225
1927-02-01,25.853,Indonesia,1927-02-01,1226
1927-03-01,25.835,Indonesia,1927-03-01,1227
1927-04-01,25.621,Indonesia,1927-04-01,1228
1927-05-01,25.802,Indonesia,1927-05-01,1229
1927-06-01,25.531,Indonesia,1927-06-01,1230
1927-07-01,25.433000000000003,Indonesia,1927-07-01,1231
1927-08-01,25.234,Indonesia,1927-08-01,1232
1927-09-01,25.4,Indonesia,1927-09-01,1233
1927-10-01,25.63000000000001,Indonesia,1927-10-01,1234
1927-11-01,25.798,Indonesia,1927-11-01,1235
1927-12-01,25.877,Indonesia,1927-12-01,1236
1928-01-01,25.777,Indonesia,1928-01-01,1237
1928-02-01,26.068,Indonesia,1928-02-01,1238
1928-03-01,25.86,Indonesia,1928-03-01,1239
1928-04-01,25.751,Indonesia,1928-04-01,1240
1928-05-01,26.02,Indonesia,1928-05-01,1241
1928-06-01,25.467,Indonesia,1928-06-01,1242
1928-07-01,25.278,Indonesia,1928-07-01,1243
1928-08-01,25.396,Indonesia,1928-08-01,1244
1928-09-01,25.719,Indonesia,1928-09-01,1245
1928-10-01,25.719,Indonesia,1928-10-01,1246
1928-11-01,25.764,Indonesia,1928-11-01,1247
1928-12-01,25.608,Indonesia,1928-12-01,1248
1929-01-01,25.344,Indonesia,1929-01-01,1249
1929-02-01,25.515,Indonesia,1929-02-01,1250
1929-03-01,25.731,Indonesia,1929-03-01,1251
1929-04-01,25.546,Indonesia,1929-04-01,1252
1929-05-01,25.602,Indonesia,1929-05-01,1253
1929-06-01,25.258000000000003,Indonesia,1929-06-01,1254
1929-07-01,25.099,Indonesia,1929-07-01,1255
1929-08-01,25.304,Indonesia,1929-08-01,1256
1929-09-01,25.569000000000003,Indonesia,1929-09-01,1257
1929-10-01,25.605,Indonesia,1929-10-01,1258
1929-11-01,25.764,Indonesia,1929-11-01,1259
1929-12-01,25.443,Indonesia,1929-12-01,1260
1930-01-01,25.636,Indonesia,1930-01-01,1261
1930-02-01,25.631,Indonesia,1930-02-01,1262
1930-03-01,25.909,Indonesia,1930-03-01,1263
1930-04-01,25.733,Indonesia,1930-04-01,1264
1930-05-01,26.028,Indonesia,1930-05-01,1265
1930-06-01,25.219,Indonesia,1930-06-01,1266
1930-07-01,25.521,Indonesia,1930-07-01,1267
1930-08-01,25.487,Indonesia,1930-08-01,1268
1930-09-01,25.537,Indonesia,1930-09-01,1269
1930-10-01,25.734,Indonesia,1930-10-01,1270
1930-11-01,25.817,Indonesia,1930-11-01,1271
1930-12-01,25.729000000000006,Indonesia,1930-12-01,1272
1931-01-01,25.98,Indonesia,1931-01-01,1273
1931-02-01,26.196,Indonesia,1931-02-01,1274
1931-03-01,26.207,Indonesia,1931-03-01,1275
1931-04-01,25.985,Indonesia,1931-04-01,1276
1931-05-01,26.41,Indonesia,1931-05-01,1277
1931-06-01,26.07,Indonesia,1931-06-01,1278
1931-07-01,25.314,Indonesia,1931-07-01,1279
1931-08-01,25.892,Indonesia,1931-08-01,1280
1931-09-01,25.933000000000003,Indonesia,1931-09-01,1281
1931-10-01,25.805000000000003,Indonesia,1931-10-01,1282
1931-11-01,25.713,Indonesia,1931-11-01,1283
1931-12-01,25.735000000000007,Indonesia,1931-12-01,1284
1932-01-01,25.616,Indonesia,1932-01-01,1285
1932-02-01,25.78,Indonesia,1932-02-01,1286
1932-03-01,25.758000000000003,Indonesia,1932-03-01,1287
1932-04-01,25.917,Indonesia,1932-04-01,1288
1932-05-01,25.949,Indonesia,1932-05-01,1289
1932-06-01,25.775,Indonesia,1932-06-01,1290
1932-07-01,25.235,Indonesia,1932-07-01,1291
1932-08-01,25.393,Indonesia,1932-08-01,1292
1932-09-01,25.688,Indonesia,1932-09-01,1293
1932-10-01,25.811,Indonesia,1932-10-01,1294
1932-11-01,25.768,Indonesia,1932-11-01,1295
1932-12-01,25.477,Indonesia,1932-12-01,1296
1933-01-01,25.686,Indonesia,1933-01-01,1297
1933-02-01,25.53700000000001,Indonesia,1933-02-01,1298
1933-03-01,25.735,Indonesia,1933-03-01,1299
1933-04-01,25.721,Indonesia,1933-04-01,1300
1933-05-01,26.127,Indonesia,1933-05-01,1301
1933-06-01,25.636,Indonesia,1933-06-01,1302
1933-07-01,25.285,Indonesia,1933-07-01,1303
1933-08-01,25.754,Indonesia,1933-08-01,1304
1933-09-01,25.658,Indonesia,1933-09-01,1305
1933-10-01,25.512,Indonesia,1933-10-01,1306
1933-11-01,25.674,Indonesia,1933-11-01,1307
1933-12-01,25.315,Indonesia,1933-12-01,1308
1934-01-01,25.174,Indonesia,1934-01-01,1309
1934-02-01,25.231,Indonesia,1934-02-01,1310
1934-03-01,25.349,Indonesia,1934-03-01,1311
1934-04-01,25.799,Indonesia,1934-04-01,1312
1934-05-01,25.917,Indonesia,1934-05-01,1313
1934-06-01,25.637,Indonesia,1934-06-01,1314
1934-07-01,25.599,Indonesia,1934-07-01,1315
1934-08-01,25.317,Indonesia,1934-08-01,1316
1934-09-01,25.622,Indonesia,1934-09-01,1317
1934-10-01,25.807,Indonesia,1934-10-01,1318
1934-11-01,25.699,Indonesia,1934-11-01,1319
1934-12-01,25.651,Indonesia,1934-12-01,1320
1935-01-01,25.722,Indonesia,1935-01-01,1321
1935-02-01,26.001,Indonesia,1935-02-01,1322
1935-03-01,25.919,Indonesia,1935-03-01,1323
1935-04-01,25.66200000000001,Indonesia,1935-04-01,1324
1935-05-01,25.839,Indonesia,1935-05-01,1325
1935-06-01,25.424,Indonesia,1935-06-01,1326
1935-07-01,25.062,Indonesia,1935-07-01,1327
1935-08-01,25.323,Indonesia,1935-08-01,1328
1935-09-01,25.642,Indonesia,1935-09-01,1329
1935-10-01,25.699,Indonesia,1935-10-01,1330
1935-11-01,25.498,Indonesia,1935-11-01,1331
1935-12-01,25.744,Indonesia,1935-12-01,1332
1936-01-01,25.431,Indonesia,1936-01-01,1333
1936-02-01,25.96,Indonesia,1936-02-01,1334
1936-03-01,25.959,Indonesia,1936-03-01,1335
1936-04-01,25.879,Indonesia,1936-04-01,1336
1936-05-01,26.047,Indonesia,1936-05-01,1337
1936-06-01,25.718000000000004,Indonesia,1936-06-01,1338
1936-07-01,25.448,Indonesia,1936-07-01,1339
1936-08-01,25.278,Indonesia,1936-08-01,1340
1936-09-01,25.832,Indonesia,1936-09-01,1341
1936-10-01,25.665000000000006,Indonesia,1936-10-01,1342
1936-11-01,25.76,Indonesia,1936-11-01,1343
1936-12-01,25.724,Indonesia,1936-12-01,1344
1937-01-01,25.642,Indonesia,1937-01-01,1345
1937-02-01,26.086,Indonesia,1937-02-01,1346
1937-03-01,25.958,Indonesia,1937-03-01,1347
1937-04-01,25.922,Indonesia,1937-04-01,1348
1937-05-01,25.897,Indonesia,1937-05-01,1349
1937-06-01,25.859,Indonesia,1937-06-01,1350
1937-07-01,25.408,Indonesia,1937-07-01,1351
1937-08-01,25.63,Indonesia,1937-08-01,1352
1937-09-01,25.762,Indonesia,1937-09-01,1353
1937-10-01,25.614,Indonesia,1937-10-01,1354
1937-11-01,26.043000000000003,Indonesia,1937-11-01,1355
1937-12-01,25.594,Indonesia,1937-12-01,1356
1938-01-01,25.673,Indonesia,1938-01-01,1357
1938-02-01,26.106,Indonesia,1938-02-01,1358
1938-03-01,25.894,Indonesia,1938-03-01,1359
1938-04-01,26.116,Indonesia,1938-04-01,1360
1938-05-01,25.975,Indonesia,1938-05-01,1361
1938-06-01,25.641,Indonesia,1938-06-01,1362
1938-07-01,25.523000000000003,Indonesia,1938-07-01,1363
1938-08-01,25.655,Indonesia,1938-08-01,1364
1938-09-01,25.484,Indonesia,1938-09-01,1365
1938-10-01,25.407,Indonesia,1938-10-01,1366
1938-11-01,25.566,Indonesia,1938-11-01,1367
1938-12-01,25.204,Indonesia,1938-12-01,1368
1939-01-01,25.356,Indonesia,1939-01-01,1369
1939-02-01,25.361,Indonesia,1939-02-01,1370
1939-03-01,25.626,Indonesia,1939-03-01,1371
1939-04-01,25.89,Indonesia,1939-04-01,1372
1939-05-01,25.794,Indonesia,1939-05-01,1373
1939-06-01,25.58,Indonesia,1939-06-01,1374
1939-07-01,25.874,Indonesia,1939-07-01,1375
1939-08-01,25.625,Indonesia,1939-08-01,1376
1939-09-01,25.265,Indonesia,1939-09-01,1377
1939-10-01,25.372,Indonesia,1939-10-01,1378
1939-11-01,25.876,Indonesia,1939-11-01,1379
1939-12-01,25.797,Indonesia,1939-12-01,1380
1940-01-01,25.322,Indonesia,1940-01-01,1381
1940-02-01,25.59800000000001,Indonesia,1940-02-01,1382
1940-03-01,25.92,Indonesia,1940-03-01,1383
1940-04-01,26.228,Indonesia,1940-04-01,1384
1940-05-01,26.13,Indonesia,1940-05-01,1385
1940-06-01,25.725,Indonesia,1940-06-01,1386
1940-07-01,25.376,Indonesia,1940-07-01,1387
1940-08-01,24.995,Indonesia,1940-08-01,1388
1940-09-01,25.34,Indonesia,1940-09-01,1389
1940-10-01,25.462000000000003,Indonesia,1940-10-01,1390
1940-11-01,25.933000000000003,Indonesia,1940-11-01,1391
1940-12-01,25.846,Indonesia,1940-12-01,1392
1941-01-01,25.967,Indonesia,1941-01-01,1393
1941-02-01,26.072000000000006,Indonesia,1941-02-01,1394
1941-03-01,26.521,Indonesia,1941-03-01,1395
1941-04-01,26.49,Indonesia,1941-04-01,1396
1941-05-01,26.523000000000003,Indonesia,1941-05-01,1397
1941-06-01,26.373,Indonesia,1941-06-01,1398
1941-07-01,25.406,Indonesia,1941-07-01,1399
1941-08-01,25.387,Indonesia,1941-08-01,1400
1941-09-01,25.397,Indonesia,1941-09-01,1401
1941-10-01,26.022,Indonesia,1941-10-01,1402
1941-11-01,26.073,Indonesia,1941-11-01,1403
1941-12-01,26.025,Indonesia,1941-12-01,1404
1942-01-01,26.054,Indonesia,1942-01-01,1405
1942-02-01,26.366,Indonesia,1942-02-01,1406
1942-03-01,26.748,Indonesia,1942-03-01,1407
1942-04-01,26.557,Indonesia,1942-04-01,1408
1942-05-01,26.789,Indonesia,1942-05-01,1409
1942-06-01,26.612,Indonesia,1942-06-01,1410
1942-07-01,25.739,Indonesia,1942-07-01,1411
1942-08-01,25.622,Indonesia,1942-08-01,1412
