dt,AverageTemperature,Country,dt_formatted,month_offset
1867-02-01,24.994,Indonesia,1867-02-01,506
1867-03-01,25.258000000000003,Indonesia,1867-03-01,507
1867-04-01,25.481,Indonesia,1867-04-01,508
1867-05-01,25.607,Indonesia,1867-05-01,509
1867-06-01,25.384,Indonesia,1867-06-01,510
1867-07-01,25.261,Indonesia,1867-07-01,511
1867-08-01,25.012,Indonesia,1867-08-01,512
1867-09-01,25.235,Indonesia,1867-09-01,513
1867-10-01,25.301,Indonesia,1867-10-01,514
1867-11-01,26.004,Indonesia,1867-11-01,515
1867-12-01,25.22,Indonesia,1867-12-01,516
1868-01-01,24.806,Indonesia,1868-01-01,517
1868-02-01,24.776,Indonesia,1868-02-01,518
1868-03-01,25.178,Indonesia,1868-03-01,519
1868-04-01,25.528,Indonesia,1868-04-01,520
1868-05-01,25.808000000000003,Indonesia,1868-05-01,521
1868-06-01,25.663,Indonesia,1868-06-01,522
1868-07-01,25.396,Indonesia,1868-07-01,523
1868-08-01,25.312,Indonesia,1868-08-01,524
1868-09-01,25.299,Indonesia,1868-09-01,525
1868-10-01,25.725,Indonesia,1868-10-01,526
1868-11-01,25.206,Indonesia,1868-11-01,527
1868-12-01,25.25500000000001,Indonesia,1868-12-01,528
1869-01-01,25.118,Indonesia,1869-01-01,529
1869-02-01,25.95,Indonesia,1869-02-01,530
1869-03-01,25.475,Indonesia,1869-03-01,531
1869-04-01,25.395,Indonesia,1869-04-01,532
1869-05-01,25.759,Indonesia,1869-05-01,533
1869-06-01,25.509,Indonesia,1869-06-01,534
1869-07-01,25.271,Indonesia,1869-07-01,535
1869-08-01,25.162,Indonesia,1869-08-01,536
1869-09-01,25.413,Indonesia,1869-09-01,537
1869-10-01,25.282,Indonesia,1869-10-01,538
1869-11-01,25.212,Indonesia,1869-11-01,539
1869-12-01,24.516,Indonesia,1869-12-01,540
1870-01-01,24.862,Indonesia,1870-01-01,541
1870-02-01,24.605,Indonesia,1870-02-01,542
1870-03-01,25.193,Indonesia,1870-03-01,543
1870-04-01,25.358,Indonesia,1870-04-01,544
1870-05-01,25.686,Indonesia,1870-05-01,545
1870-06-01,25.509,Indonesia,1870-06-01,546
1870-07-01,25.25,Indonesia,1870-07-01,547
1870-08-01,24.675,Indonesia,1870-08-01,548
1870-09-01,25.02,Indonesia,1870-09-01,549
1870-10-01,24.984,Indonesia,1870-10-01,550
1870-11-01,25.071,Indonesia,1870-11-01,551
1870-12-01,24.269,Indonesia,1870-12-01,552
1871-01-01,24.464,Indonesia,1871-01-01,553
1871-02-01,24.606,Indonesia,1871-02-01,554
1871-03-01,25.121,Indonesia,1871-03-01,555
1871-04-01,25.606,Indonesia,1871-04-01,556
1871-05-01,25.47,Indonesia,1871-05-01,557
1871-06-01,25.159,Indonesia,1871-06-01,558
1871-07-01,24.852,Indonesia,1871-07-01,559
1871-08-01,25.146,Indonesia,1871-08-01,560
1871-09-01,25.057,Indonesia,1871-09-01,561
1871-10-01,25.08,Indonesia,1871-10-01,562
1871-11-01,24.771,Indonesia,1871-11-01,563
1871-12-01,24.675,Indonesia,1871-12-01,564
1872-01-01,24.457,Indonesia,1872-01-01,565
1872-02-01,24.56900000000001,Indonesia,1872-02-01,566
1872-03-01,25.246,Indonesia,1872-03-01,567
1872-04-01,25.611,Indonesia,1872-04-01,568
1872-05-01,25.936,Indonesia,1872-05-01,569
1872-06-01,25.486,Indonesia,1872-06-01,570
1872-07-01,25.122,Indonesia,1872-07-01,571
1872-08-01,25.126,Indonesia,1872-08-01,572
1872-09-01,25.479,Indonesia,1872-09-01,573
1872-10-01,25.489,Indonesia,1872-10-01,574
1872-11-01,25.106,Indonesia,1872-11-01,575
1872-12-01,24.632,Indonesia,1872-12-01,576
1873-01-01,25.085,Indonesia,1873-01-01,577
1873-02-01,25.272,Indonesia,1873-02-01,578
1873-03-01,25.256,Indonesia,1873-03-01,579
1873-04-01,25.135,Indonesia,1873-04-01,580
1873-05-01,25.746,Indonesia,1873-05-01,581
1873-06-01,25.683000000000003,Indonesia,1873-06-01,582
1873-07-01,25.249,Indonesia,1873-07-01,583
1873-08-01,25.239,Indonesia,1873-08-01,584
1873-09-01,25.243,Indonesia,1873-09-01,585
1873-10-01,25.356,Indonesia,1873-10-01,586
1873-11-01,25.545,Indonesia,1873-11-01,587
1873-12-01,25.303,Indonesia,1873-12-01,588
1874-01-01,25.286,Indonesia,1874-01-01,589
1874-02-01,25.48,Indonesia,1874-02-01,590
1874-03-01,25.302,Indonesia,1874-03-01,591
1874-04-01,25.616,Indonesia,1874-04-01,592
1874-05-01,25.988000000000003,Indonesia,1874-05-01,593
1874-06-01,25.398000000000003,Indonesia,1874-06-01,594
1874-07-01,24.817,Indonesia,1874-07-01,595
1874-08-01,25.027,Indonesia,1874-08-01,596
1874-09-01,25.183000000000003,Indonesia,1874-09-01,597
1874-10-01,25.271,Indonesia,1874-10-01,598
1874-11-01,25.083,Indonesia,1874-11-01,599
1874-12-01,24.917,Indonesia,1874-12-01,600
1875-01-01,24.452,Indonesia,1875-01-01,601
1875-02-01,24.827,Indonesia,1875-02-01,602
1875-03-01,24.798,Indonesia,1875-03-01,603
1875-04-01,25.091,Indonesia,1875-04-01,604
1875-05-01,25.217,Indonesia,1875-05-01,605
1875-06-01,25.224,Indonesia,1875-06-01,606
1875-07-01,24.989,Indonesia,1875-07-01,607
1875-08-01,24.934,Indonesia,1875-08-01,608
1875-09-01,25.184,Indonesia,1875-09-01,609
1875-10-01,25.047,Indonesia,1875-10-01,610
1875-11-01,24.647,Indonesia,1875-11-01,611
1875-12-01,24.467,Indonesia,1875-12-01,612
1876-01-01,24.72,Indonesia,1876-01-01,613
1876-02-01,24.999,Indonesia,1876-02-01,614
1876-03-01,25.247,Indonesia,1876-03-01,615
1876-04-01,25.513,Indonesia,1876-04-01,616
1876-05-01,25.39,Indonesia,1876-05-01,617
1876-06-01,25.249,Indonesia,1876-06-01,618
1876-07-01,25.1,Indonesia,1876-07-01,619
1876-08-01,24.915,Indonesia,1876-08-01,620
1876-09-01,25.126,Indonesia,1876-09-01,621
1876-10-01,25.1,Indonesia,1876-10-01,622
1876-11-01,24.881,Indonesia,1876-11-01,623
1876-12-01,24.352,Indonesia,1876-12-01,624
1877-01-01,24.92,Indonesia,1877-01-01,625
1877-02-01,25.096,Indonesia,1877-02-01,626
1877-03-01,25.572,Indonesia,1877-03-01,627
1877-04-01,25.486,Indonesia,1877-04-01,628
1877-05-01,25.787,Indonesia,1877-05-01,629
1877-06-01,25.343000000000004,Indonesia,1877-06-01,630
1877-07-01,25.404,Indonesia,1877-07-01,631
1877-08-01,25.346,Indonesia,1877-08-01,632
1877-09-01,25.518,Indonesia,1877-09-01,633
1877-10-01,25.772,Indonesia,1877-10-01,634
1877-11-01,26.289,Indonesia,1877-11-01,635
1877-12-01,25.264000000000006,Indonesia,1877-12-01,636
1878-01-01,25.43,Indonesia,1878-01-01,637
1878-02-01,26.118,Indonesia,1878-02-01,638
1878-03-01,26.811,Indonesia,1878-03-01,639
